id,item_id,name,brand,categories,price,specs,gpt_specs
234878,LPASU00715,"ASUS TUF F15 Gaming Laptop 15.6"" FHD Intel i9-13900H GeForce RTX 4060 16GB 1TB SSD Windows 11 Home, FX507VV-DS91-CA",ASUS,"['Laptops, Tablet', None, None, None]",1499.0,"{'Refresh Rate': '144Hz', 'GPU': 'GeForce RTX 4060', 'Maximum Resolution': '1920 x 1080', 'Touch Screen': 'No', 'Operating System': 'Windows 11 Home', 'Memory': '16GB'}","{'Brand': 'ASUS', 'Model': 'TUF F15', 'Model Code': 'FX507VV-DS91-CA', 'CPU': 'Intel i9-13900H', 'GPU': 'GeForce RTX 4060', 'RAM': '16GB', 'Storage': '1TB SSD', 'OS': 'Windows 11 Home', 'Screen': '15.6""', 'Resolution': 'FHD'}"
239821,LPACE00967,"Acer Nitro 5 Gaming Laptop 15.6"" FHD Intel i9-12900H GeForce RTX 4060 16GB 1TB SSD Windows 11 Home, NH.QM0AA.003",ACER,"['Laptops, Tablet', None, None, None]",1299.0,"{'GPU': 'GeForce RTX 4060', 'Maximum Resolution': '1920 x 1080', 'Touch Screen': 'No', 'Operating System': 'Windows 11 Home', 'Memory': '16GB', 'Screen Size': '15.6""'}","{'Brand': 'Acer', 'Model': 'Nitro 5', 'Model Code': 'NH.QM0AA.003', 'CPU': 'Intel i9-12900H', 'GPU': 'GeForce RTX 4060', 'RAM': '16GB', 'Storage': '1TB SSD', 'OS': 'Windows 11 Home', 'Screen': '15.6""', 'Resolution': 'FHD'}"
241721,LPLEN03469,"Lenovo Legion Pro 5i Gaming Laptop 16"" QHD+ Intel i7-13700HX GeForce RTX 4060 16GB 512GB Windows 11 Home, 82WK00K7CC",LENOVO,"['Laptops, Tablet', None, None, None]",1499.0,"{'GPU': 'GeForce RTX 4060', 'Maximum Resolution': '2560 x 1600', 'Touch Screen': 'No', 'Operating System': 'Windows 11 Home', 'Memory': '16GB', 'Screen Size': '16""'}","{'Brand': 'Lenovo', 'Model': 'Legion Pro 5i', 'Model Code': '82WK00K7CC', 'CPU': 'Intel i7-13700HX', 'GPU': 'GeForce RTX 4060', 'RAM': '16GB', 'Storage': '512GB', 'OS': 'Windows 11 Home', 'Screen': '16""', 'Resolution': 'QHD+'}"
245321,LPHEW02100,"HP 15-fd0030ca Consumer Laptop 15.6"" FHD Intel i5-1340P 16GB 512GB SSD Windows 11 Home, 8M5P0UA#ABL",HP,"['Laptops, Tablet', None, None, None]",699.0,"{'GPU': 'Intel Iris Xe', 'Maximum Resolution': '1920 x 1080', 'Touch Screen': 'No', 'Operating System': 'Windows 11 Home', 'Memory': '16GB', 'Screen Size': '15.6""'}","{'Brand': 'HP', 'Model': '15-fd0030ca', 'Model Code': '8M5P0UA#ABL', 'CPU': 'Intel i5-1340P', 'RAM': '16GB', 'Storage': '512GB SSD', 'OS': 'Windows 11 Home', 'Screen': '15.6""', 'Resolution': 'FHD'}"
245308,LPGIG00162,"GIGABYTE G5 KF Gaming Laptop 15.6"" FHD 144Hz Intel i7-12650H GeForce RTX 4060 16GB 512GB SSD Windows 11 Home, G5 KF5-G3US353SH",GIGABYTE,"['Laptops, Tablet', None, None, None]",1099.0,"{'GPU': 'GeForce RTX 4060', 'Maximum Resolution': '1920 x 1080', 'Touch Screen': 'No', 'Operating System': 'Windows 11 Home', 'Memory': '16GB', 'Screen Size': '15.6""'}","{'Brand': 'GIGABYTE', 'Model': 'G5 KF', 'Model Code': 'G5 KF5-G3US353SH', 'CPU': 'Intel i7-12650H', 'GPU': 'GeForce RTX 4060', 'RAM': '16GB', 'Storage': '512GB SSD', 'OS': 'Windows 11 Home', 'Screen': '15.6""', 'Resolution': 'FHD', 'Refresh Rate': '144Hz'}"
230569,LPHEW01946,"HP ProBook 450 G9 15.6"" Business Notebook Intel i5-1235U 16 GB 256 GB SSD, Windows 11 Pro",HP,"['Laptops, Tablet', None, None, None]",899.0,"{'General Information<HDRBR>Manufacturer': 'HP Inc.', 'General Information<HDRBR>Manufacturer Part Number': '687P0UT#ABA', 'General Information<HDRBR>Manufacturer Website Address': 'http://www.hp.com', 'General Information<HDRBR>Brand Name': 'HP', 'General Information<HDRBR>Product Line': 'ProBook', 'General Information<HDRBR>Product Series': '450 G9'}","{'Brand': 'HP', 'Model': 'ProBook 450 G9', 'CPU': 'Intel i5-1235U', 'RAM': '16GB', 'Storage': '256GB SSD', 'OS': 'Windows 11 Pro', 'Screen': '15.6""'}"
241145,LPMSI00572,"MSI Thin GF63 Gaming Laptop 15.6"" FHD Intel i5-12450H GeForce RTX 2050 8GB 512GB SSD Windows 11 Home",MSI,"['Laptops, Tablet', None, None, None]",699.0,"{'GPU': 'GeForce RTX 2050', 'Maximum Resolution': '1920 x 1080', 'Touch Screen': 'No', 'Operating System': 'Windows 11 Home', 'Memory': '8GB', 'Screen Size': '15.6""'}","{'Brand': 'MSI', 'Model': 'Thin GF63', 'CPU': 'Intel i5-12450H', 'GPU': 'GeForce RTX 2050', 'RAM': '8GB', 'Storage': '512GB SSD', 'OS': 'Windows 11 Home', 'Screen': '15.6""', 'Resolution': 'FHD'}"
243411,LPLEN03502,"LENOVO IdeaPad Slim 3 Consumer Laptop 15.6"" AMD Ryzen 5 7520U 16GB 512GB SSD Windows 11 Home, 82XQ00BECC",LENOVO,"['Laptops, Tablet', None, None, None]",699.0,"{'GPU': 'AMD Radeon 610M', 'Maximum Resolution': '1920 x 1080', 'Touch Screen': 'No', 'Operating System': 'Windows 11 Home', 'Memory': '16GB', 'Screen Size': '15.6""'}","{'Brand': 'LENOVO', 'Model': 'IdeaPad Slim 3', 'Model Code': '82XQ00BECC', 'CPU': 'AMD Ryzen 5 7520U', 'RAM': '16GB', 'Storage': '512GB SSD', 'OS': 'Windows 11 Home', 'Screen': '15.6""'}"
243633,LPACE00980,"ACER Nitro 5 Gaming Laptop 15.6"" 144Hz AMD Ryzen 7 5800H GeForce RTX 3060 16GB 512GB SSD Windows 11 Home",ACER,"['Laptops, Tablet', None, None, None]",999.0,"{'GPU': 'GeForce RTX 3060', 'Maximum Resolution': '1920 x 1080', 'Touch Screen': 'No', 'Operating System': 'Windows 11 Home', 'Memory': '16GB', 'Screen Size': '15.6""'}","{'Brand': 'ACER', 'Model': 'Nitro 5', 'CPU': 'AMD Ryzen 7 5800H', 'GPU': 'GeForce RTX 3060', 'RAM': '16GB', 'Storage': '512GB SSD', 'OS': 'Windows 11 Home', 'Screen': '15.6""', 'Refresh Rate': '144Hz'}"
240323,LPHEW02049,"HP EliteBook 840 G2 Business Notebook 14"" Touchscreen Core i5-5300U,16 GB DDR3, 256 GB SSD, Windows 10 Professional Refurbished",HP,"['Laptops, Tablet', None, None, None]",269.0,"{'Memory': '16GB', 'Storage Type': 'SSD', 'CPU Brand': 'Intel', 'Product Condition': 'Refurbished', 'Product Condition Short': 'Refurb', 'Screen Resolution Description': 'FHD'}","{'Brand': 'HP', 'Model': 'EliteBook 840 G2', 'Screen': '14"" Touchscreen', 'CPU': 'Core i5-5300U', 'RAM': '16GB DDR3', 'Storage': '256GB SSD', 'OS': 'Windows 10 Professional', 'Condition': 'Refurbished'}"
