item_id,Model,CPU,GPU,RAM,Storage,price,bench,cpu_bench,gpu_bench,value
LPMSI00429OB,Katana GF66,Intel Core i7-11800H,RTX3060,16.0,512GB,786.48999847412,51.713099269594984,20753.0,42.0,657.5175700889304
LPCOI00001OB,VOYAGER Gaming Notebook,AMD Ryzen 7 6800HS,Radeon 6800M,16.0,1TB,989.89,65.04774144439813,22947.0,54.6,657.1209068118491
LPGIG00147OB,G5 KF-E3US333SH,Intel i5-12500H,GeForce RTX 4060,8.0,512GB,899.1,56.274217475847855,21521.0,46.3,625.8949780430191
LPGIG00160OB,G5 Gaming Notebook,Intel i5-12450H,GeForce RTX 4050,16.0,512GB,809.1,49.834614702533386,17456.0,41.9,615.9265196209786
LPGIG00135OB,AERO 16 XE4,Intel Core i7-12700H,GeForce RTX 3070 Ti,16.0,2TB,1079.1,64.6130497301687,26424.0,52.2,598.7679522766074
LPHEW02076OB,Victus Gaming Notebook,AMD Ryzen 5 7640HS,GeForce RTX 4050,16.0,512GB,899.1,53.042008897441775,23390.0,41.9,589.9456000160357
LPGIG00142OB,G5 KE-52US213SH,Intel i5-12500H,GeForce RTX 3060,16.0,512GB,899.89,52.12821196620598,21521.0,42.0,579.2731552323727
LPGIG00162OB,G5 KF,Intel i7-12650H,GeForce RTX 4060,16.0,512GB,989.1,57.225517405581385,23281.0,46.3,578.5614943441652
LPACE00980OB,Nitro 5,AMD Ryzen 7 5800H,GeForce RTX 3060,16.0,512GB,899.1,51.9168720386345,21130.0,42.0,577.4315653279334
LPASU00584OB,TUF Gaming Notebook,Ryzen 7 5800H,GeForce RTX 3060,16.0,512GB,899.89,51.9168720386345,21130.0,42.0,576.9246467749891
LPMSI00467OB,Crosshair 15,Intel Core i7-12700H,RTX3070Ti,16.0,512GB,1129.39,64.6130497301687,26424.0,52.2,572.1057361068249
LPGIG00147,G5,Intel i5-12500H,GeForce RTX 4060,8.0,512GB,999.0,56.274217475847855,21521.0,46.3,563.3054802387172
LPACE00968OB,Nitro 5,Intel i5-12450H,GeForce RTX 4060,16.0,512GB,989.1,54.077038944957636,17456.0,46.3,546.7297436554204
LPACE00912OB,Nitro 5,Intel Core i5-11400H,GTX 1650,8.0,256GB,526.39,28.607066582507713,15822.0,20.8,543.4576375407532
LPMSI00530OB,Katana GF66,Intel i5-11400H,GeForce RTX 3050,8.0,512GB,651.48999847412,35.06712167892645,15822.0,27.5,538.2603226612614
LPACE00877OB,Nitro 5,Intel i7-11800H,NVIDIA GeForce RTX3060,16.0,512GB,961.08999023437,51.713099269594984,20753.0,42.0,538.0671924070742
LPHEW02076,Victus Gaming Notebook,AMD Ryzen 5 7640HS,GeForce RTX 4050,16.0,512GB,999.0,53.042008897441775,23390.0,41.9,530.9510400144322
LPGIG00133OB,A5 K1,AMD Ryzen 5 5600H,GeForce RTX 3060,16.0,512GB,936.79000152588,49.73482782480822,17093.0,42.0,530.9069027615388
LPMSI00559OB,Thin GF63,Intel i7-12650H,GeForce RTX 4060,16.0,512GB,1079.1,57.225517405581385,23281.0,46.3,530.3078250911072
LPHEW01865OB,Omen 16-b0020ca,Intel Core i7-11800H,NVIDIA GeForce RTX 3070,16.0,1TB,1091.5900007629,57.49822323653713,20753.0,48.0,526.7382734941898
LPGIG00162,G5 KF,Intel i7-12650H,GeForce RTX 4060,16.0,512GB,1099.0,57.225517405581385,23281.0,46.3,520.7053449097488
LPACE00980,Nitro 5,AMD Ryzen 7 5800H,GeForce RTX 3060,16.0,512GB,999.0,51.9168720386345,21130.0,42.0,519.6884087951402
LPMSI00504OB,GP66 Leopard,Intel Core i7-11800H,NVIDIA RTX3070,16.0,512GB,1114.0900007629,57.49822323653713,20753.0,48.0,516.1003437528731
LPACE00967OB,Nitro 5,Intel i9-12900H,GeForce RTX 4060,16.0,1TB,1169.1,60.05941827580461,28524.0,46.3,513.7235332803406
LPHEW02079,Victus 16,AMD Ryzen 7 7840HS,GeForce RTX 4060,16.0,1TB,1199.0,60.25562388631215,28887.0,46.3,502.5489898774991
LPMSI00560OB,Thin GF63,Intel i5-12450H,GeForce RTX 4060,16.0,512GB,1079.1,54.077038944957636,17456.0,46.3,501.1309326749851
LPACE00968,Nitro 5,Intel i5-12450H,GeForce RTX 4060,16.0,512GB,1099.0,54.077038944957636,17456.0,46.3,492.0567692898784
LPACE00816,Nitro,Intel i5-11400H,NVIDIA GeForce RTX 3050,8.0,512GB,715.88,35.06712167892645,15822.0,27.5,489.8463664151317
LPMSI00496OB,GF63 11UC-692,Intel i5-11400H,NVIDIA RTX3050,8.0,512GB,719.1,35.06712167892645,15822.0,27.5,487.6529228052628
LPACE00877,Nitro 5,Intel i7-11800H,NVIDIA GeForce RTX3060,16.0,512GB,1067.8800048828,51.713099269594984,20753.0,42.0,484.2594583018764
LPHEW02095OB,Victus 15-fb1010ca,AMD Ryzen 5 7535HS,GeForce RTX 2050,8.0,512GB,629.1,30.41050271573437,18445.0,21.2,483.39695939809843
LPHEW02058,Victus 15-fa1000ca,Intel i5-13500H,GeForce RTX 4050,16.0,512GB,1099.0,52.98741725374683,23289.0,41.9,482.1421042197164
LPGIG00124OB,AERO 16 XE5,Intel Core i7-12700H,NVIDIA GeForce RTX 3070 Ti,32.0,2 TB,1349.89,64.6130497301687,26424.0,52.2,478.6541846385165
LPMSI00559,Thin GF63,Intel i7-12650H,GeForce RTX 4060,16.0,512GB,1199.0,57.225517405581385,23281.0,46.3,477.27704258199657
LPHEW02087OB,Victus 15-fb0000ca,AMD Ryzen 5 5600H,GeForce RTX 3050 Ti,16.0,512GB,764.1,36.42904270084127,17093.0,28.2,476.75752782150596
LPMSI00572OB,Thin GF63,Intel i5-12450H,GeForce RTX 2050,8.0,512GB,629.1,29.875937016582977,17456.0,21.2,474.8996505576693
LPHEW02035OB,Omen 16-wd0010ca,Intel i7-13620H,GeForce RTX 4060,16.0,1TB,1259.1,58.959477732050225,26489.0,46.3,468.2668392665414
