id,name,passmark
4017,AArch64 rev 2 (aarch64),2320
3916,AArch64 rev 4 (aarch64),1804
3980,AC8257V/WAB,728
5410,Allwinner A133,744
5651,Allwinner A523,1940
5591,Allwinner A527,2297
5549,Allwinner H618,604
4455,AMD 3015Ce,2094
3774,AMD 3015e,2708
3758,AMD 3020e,2458
4309,AMD 4700S,18076
2520,AMD A10 Micro-6700T APU,1426
2271,AMD A10 PRO-7350B APU,1937
2407,AMD A10 PRO-7800B APU,3370
2416,AMD A10 PRO-7850B APU,3453
10,AMD A10-4600M APU,1922
11,AMD A10-4655M APU,1655
1906,AMD A10-4657M APU,1759
12,AMD A10-5700 APU,2704
1962,AMD A10-5745M APU,1766
1920,AMD A10-5750M APU,1997
1992,AMD A10-5757M APU,1923
1990,AMD A10-5800B APU,3021
1446,AMD A10-5800K APU,2964
1936,AMD A10-6700 APU,3115
2254,AMD A10-6700T APU,2299
2117,AMD A10-6790K APU,3082
2155,AMD A10-6800B APU,3088
1935,AMD A10-6800K APU,3209
2287,AMD A10-7300 APU,1737
2451,AMD A10-7400P,2078
2146,AMD A10-7700K APU,3193
2262,AMD A10-7800 APU,3191
2133,AMD A10-7850K APU,3430
2722,AMD A10-7860K,3286
2531,AMD A10-7870K,3420
2744,AMD A10-7890K,3542
2542,AMD A10-8700P,2217
2603,AMD A10-8750,3172
2776,AMD A10-8850,3438
2793,AMD A10-9600P,2329
3060,AMD A10-9620P,2580
2857,AMD A10-9630P,2929
2900,AMD A10-9700,3534
3133,AMD A10-9700E,3171
2848,AMD A12-9700P,2440
3043,AMD A12-9720P,2646
3040,AMD A12-9730P,3216
2861,AMD A12-9800,3567
3083,AMD A12-9800E,3471
2413,AMD A4 Micro-6400T APU,1004
2653,AMD A4 PRO-3340B,1645
2439,AMD A4 PRO-7300B APU,1477
2450,AMD A4 PRO-7350B,1544
2049,AMD A4-1200 APU,369
1970,AMD A4-1250 APU,411
13,AMD A4-3300 APU,967
14,AMD A4-3300M APU,711
15,AMD A4-3305M APU,729
16,AMD A4-3310MX APU,782
17,AMD A4-3320M APU,668
1871,AMD A4-3330MX APU,752
18,AMD A4-3400 APU,1078
19,AMD A4-3420 APU,1054
1913,AMD A4-4000 APU,1172
2305,AMD A4-4020 APU,1268
1813,AMD A4-4300M APU,1000
1820,AMD A4-4355M APU,806
2005,AMD A4-5000 APU,1303
3009,AMD A4-5050 APU,1328
2547,AMD A4-5100 APU,1346
1974,AMD A4-5150M APU,765
1447,AMD A4-5300 APU,1367
1810,AMD A4-5300B APU,1248
2307,AMD A4-6210 APU,1494
2454,AMD A4-6250J APU,1656
2083,AMD A4-6300 APU,1432
2112,AMD A4-6300B APU,1328
2212,AMD A4-6320 APU,1530
2549,AMD A4-7210 APU,1660
2357,AMD A4-7300 APU,1528
3093,AMD A4-9120,1223
3531,AMD A4-9120C,825
3464,AMD A4-9120e,835
3362,AMD A4-9125,1211
2698,AMD A6 Micro-6500T APU,1146
2353,AMD A6 PRO-7050B APU,1009
2436,AMD A6 PRO-7400B,1654
1908,AMD A6-1450 APU,1045
20,AMD A6-3400M APU,1186
21,AMD A6-3410MX APU,1263
22,AMD A6-3420M APU,1291
23,AMD A6-3430MX APU,1448
24,AMD A6-3500 APU,1395
25,AMD A6-3600 APU,1645
26,AMD A6-3620 APU,1844
27,AMD A6-3650 APU,2049
28,AMD A6-3670 APU,2165
29,AMD A6-4400M APU,1006
30,AMD A6-4455M APU,792
1975,AMD A6-5200 APU,1666
2198,AMD A6-5345M APU,1122
1987,AMD A6-5350M APU,1176
2048,AMD A6-5357M APU,1165
2085,AMD A6-5400B APU,1457
1494,AMD A6-5400K APU,1264
2290,AMD A6-6310 APU,1661
2157,AMD A6-6400B APU,1616
1960,AMD A6-6400K APU,1469
2433,AMD A6-6420B APU,1550
2372,AMD A6-6420K APU,1576
2488,AMD A6-7000,1010
2535,AMD A6-7310 APU,1719
2392,AMD A6-7400K APU,1616
2771,AMD A6-7470K,1799
3436,AMD A6-7480,1843
2781,AMD A6-8500P,1445
2657,AMD A6-8550,1604
3221,AMD A6-9200,1117
2825,AMD A6-9210,1238
3072,AMD A6-9220,1265
3455,AMD A6-9220C,1053
3198,AMD A6-9220e,1000
3315,AMD A6-9225,1323
3063,AMD A6-9230,1303
3609,AMD A6-9400,2717
2903,AMD A6-9500,1872
3330,AMD A6-9500E,1756
2289,AMD A8 PRO-7150B APU,1531
2352,AMD A8 PRO-7600B APU,2935
31,AMD A8-3500M APU,1412
32,AMD A8-3510MX APU,1605
33,AMD A8-3520M APU,1448
34,AMD A8-3530MX APU,1572
35,AMD A8-3550MX APU,1579
36,AMD A8-3800 APU,2005
37,AMD A8-3820 APU,2170
38,AMD A8-3850 APU,2365
39,AMD A8-3870K APU,2302
40,AMD A8-4500M APU,1675
1448,AMD A8-4555M APU,1302
41,AMD A8-5500 APU,2590
1868,AMD A8-5500B APU,2643
1971,AMD A8-5545M APU,1575
