id,name,passmark
gpu162,256MB DDR Radeon 9800 XT,37
gpu2314,7900 MOD - Radeon HD 6520G,610
gpu2390,7900 MOD - Radeon HD 6550D,892
gpu4780,A10-8Q,7041
gpu4956,A16-2Q,4582
gpu3424,A6 Micro-6500T Quad-Core APU with RadeonR4,220
gpu3355,ABIT Siluro T400,3
gpu214,ALL-IN-WONDER 9000,4
gpu217,ALL-IN-WONDER 9800,23
gpu222,ALL-IN-WONDER RADEON 8500DV,5
gpu228,All-in-Wonder X1800XL,30
gpu229,All-in-Wonder X1900,127
gpu230,ALL-IN-WONDER X800 GT,84
gpu4918,AMD Ryzen Z1 Extreme,6563
gpu4177,AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3
gpu336,ASUS A7000,9
gpu2539,ASUS AGP-V3800PRO v31.40H,4
gpu346,ASUS EAH4870x2,496
gpu3638,Asus GTX 650 FML II EC-EGPU,720
gpu375,ASUS V9520-X V62.11,7
gpu3941,B8DKMDAP,4557
gpu2698,Barco MXRT 1450,205
gpu3886,Barco MXRT 2600,900
gpu3354,Barco MXRT 5400,1161
gpu2526,Barco MXRT 5450,1079
gpu2699,Barco MXRT 5500,2701
gpu4158,Barco MXRT 5600,2465
gpu2621,Barco MXRT 7100,180
gpu2474,Barco MXRT 7400,900
gpu3353,Barco MXRT 7500,3753
gpu4014,Barco MXRT 7600,4943
gpu3144,BASICDISPLAY,69
gpu3967,Citrix Indirect Display Adapter,4446
gpu648,CONNECT 3D RADEON X300,36
gpu4528,Custom GPU 0405,2762
gpu657,Dell 8100,2
gpu658,Dell 8200,4
gpu2426,Diamond X1300-PCIE 256MB,70
gpu3742,EAH5450,134
gpu4000,EIZO Quadro MED-XN51LP,5048
gpu3883,Embedded Radeon E9173,1806
gpu4577,Eng Sample: 100-000000261-50_Y,2859
gpu3958,Extreme AX850 PRO,120
gpu387,FireGL T2-128,30
gpu388,FireGL V3100,52
gpu389,FireGL V3200,84
gpu391,FireGL V3300,70
gpu392,FireGL V3350,68
gpu393,FireGL V3400,103
gpu394,FireGL V3600,179
gpu396,FireGL V5100,92
gpu397,FireGL V5200,114
gpu398,FireGL V5600,341
gpu399,FireGL V7100,71
gpu400,FireGL V7200,116
gpu401,FireGL V7300,128
gpu402,FireGL V7350,110
gpu403,FireGL V7600,615
gpu404,FireGL V7700,660
gpu405,FireGL V8600,838
gpu406,FireGL V8650,550
gpu407,FireGL X1,59
gpu415,FireMV 2200 PCI,1
gpu414,FireMV 2200 PCIe,36
gpu416,FireMV 2250,45
gpu417,FireMV 2260,117
gpu418,FireMV 2400 PCIe,11
gpu420,FireMV 2450,73
gpu422,FirePro 2260,112
gpu115,FirePro 2270,143
gpu423,FirePro 2450,51
gpu237,FirePro 2460,170
gpu429,FirePro 3D V3700,178
gpu430,FirePro 3D V3750,341
gpu431,FirePro 3D V3800,472
gpu433,FirePro 3D V4800,853
gpu435,FirePro 3D V5700,546
gpu436,FirePro 3D V5800,1231
gpu437,FirePro 3D V7750,545
gpu438,FirePro 3D V7800,1867
gpu440,FirePro 3D V8700,1206
gpu441,FirePro 3D V8750,1271
gpu442,FirePro 3D V8800,2437
gpu443,FirePro 3D V9800,2811
gpu2268,FirePro M2000,423
gpu238,FirePro M4000,1612
gpu3360,FirePro M4000 Mobility Pro,1628
gpu2194,FirePro M40003,1364
gpu3016,Firepro M4100,1059
gpu3224,FirePro M4150,928
gpu3145,FirePro M4170,1119
gpu2818,FirePro M5100,2102
gpu3125,FirePro M5100 FireGL V,1839
gpu233,FirePro M5950,1314
gpu2231,FirePro M6000,1820
gpu2437,FirePro M6000 Mobility Pro,1750
gpu2657,FirePro M6100,2107
gpu3695,FirePro M6100 FireGL V,2787
gpu425,FirePro M7740,665
gpu3444,FirePro R5000,2646
gpu427,FirePro RG220,335
gpu3330,FirePro S10000,4768
gpu2804,FirePro S7000,4523
gpu3604,FirePro S7150,2726
gpu3209,FirePro S9000,5059
gpu4287,FirePro S9050,4901
gpu3518,FirePro V3800,320
gpu240,FirePro V3900,649
gpu241,FirePro V4900,984
gpu3111,FirePro V5700,464
gpu3427,FirePro V5800,1175
gpu243,FirePro V5900,1269
gpu2675,FirePro V7000,3161
gpu3907,FirePro V7800,2028
gpu245,FirePro V7900,2304
gpu3105,FirePro V8700,1538
gpu3344,FirePro V8800,2280
gpu3423,FirePro V9800,2726
gpu2940,FirePro W2100,886
gpu3019,FirePro W4100,1539
gpu3070,FirePro W4170M,1063
gpu3491,Firepro W4190M,1170
gpu3425,FirePro W4300,2834
gpu2227,FirePro W5000,2969
gpu3044,FirePro W5100,2982
gpu3440,FirePro W5130M,1395
gpu3470,Firepro W5170M,1744
gpu2371,FirePro W600,1661
gpu4341,FirePro W6150M,2358
gpu2232,FirePro W7000,4260
gpu2647,FirePro W7000 Adapter,4361
gpu3130,FirePro W7100,5319
gpu3412,FirePro W7170M,3161
gpu2427,FirePro W8000,4095
gpu2937,FirePro W8100,7279
gpu2281,FirePro W9000,6138
gpu3028,FirePro W9100,7927
gpu3357,FireStream 9170,647
gpu2652,FireStream 9250,1164
gpu2960,FireStream 9270,1341
gpu247,FireStream 9370,2528
gpu699,GeCube RADEON 7000,8
gpu1168,GeForce 205,126
gpu1169,GeForce 210,107
gpu4035,GeForce 240M GT,319
gpu1170,GeForce 256,5
gpu1171,GeForce 305M,150
gpu1172,GeForce 310,119
gpu102,GeForce 310M,110
gpu1173,GeForce 315,158
