Model,Codename,Series,L2 Cache + L3 Cache,FSB / QPI,TDP Watt,MHz - Turbo,Cores / Threads,Process (nm),Architecture,64 Bit,Days old,Graphics Card,Perf. Rating,3DMark06 CPU,Cinebench R10 32Bit Single,Cinebench R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,Cinebench R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,Cinebench R20 Single,Cinebench R20,Cinebench R23 Single Core,Cinebench R23 Multi Core,SuperPI 1M*,SuperPI 32M*,wPrime 32,wPrime 1024,WinRAR 4.0,x264 Pass 1,x264 Pass 2,x265,TrueCrypt AES,TrueCrypt Twofish,TrueCrypt Serpent,Blender(-),Blender v3.3 Classroom CPU(-),7-Zip Single,7-Zip,Geekbench 2,Geekbench 3 32 Bit Single-Core Score,Geekbench 3 32 Bit Multi-Core Score,Geekbench 4.4 64 Bit Single-Core Score,Geekbench 4.4 64 Bit Multi-Core Score,Geekbench 5.0 5.0 Single-Core,Geekbench 5.0 5.0 Multi-Core,Geekbench 5.5 Single-Core,Geekbench 5.5 Multi-Core,Geekbench 6.2 Single-Core,Geekbench 6.2 Multi-Core,PassMark PerformanceTest Mobile V1 CPU Tests,Sunspider 1.0 Total Score(-),Octane V2 Total Score,Jetstream 2,Speedometer,WebXPRT 3,WebXPRT 4 Overall
AMD Ryzen Threadripper PRO 7995WX,Storm Peak,Threadripper,96MB + 384MB,,350,2500 ‑ 5100,96/192,5,x86,,22,,~70.2,21375,7951,72072,3.4,76.86,286,15842,695,41011,1815,107681,6.98,349.43,7.93,17.19,63037,354.5,267.5,56.9,38.4,5.3,3.3,29,38,7108,174189,,,,4762,19324,1017,3879,1918,55811,2702,25365,,,,,,349,263
AMD Ryzen Threadripper PRO 3995WX,Matisse,Threadripper,32MB + 256MB,,280,2700 ‑ 4200,64/128,7,x86,,1244,,~52.4,16656,5596,52743,2.12,54.3,195,9706,488,23571,1249,61102,9.81,730,6.11,25.41,6689,264,192.5,46.6,26,4.8,2.9,47.8,,5021,140172,,,,5567,80545,1266,31711,1720,14881,,,,,,,,229,
Intel Core i9-14900K,Raptor Lake,Raptor Lake-R,32MB + 36MB,,125,3200 ‑ 6000,24/32,10,x86,,24,UHD Graphics 770,~68.6,20802,12643,94801,4.02,72.24,332,6282,900,15466,2351,41193,5.48,280.25,2.07,74.47,16108,345.5,181.2,42,26.7,5.8,2.8,82.5,139.5,7772,149570,,,,9869.5,88609,2271.5,24957,2306.5,25285,3254.5,21537.5,,,,,,386,332
AMD Ryzen 9 7950X,Raphael (Zen 4),"Raphael (Zen 4, Ryzen 7000)",16MB + 64MB,,170,4500 ‑ 5700,16/32,0,x86,,410,Radeon Graphics (Ryzen 7000),~65.9,21065,8508,72480,3.7,68.61,316,6095,778,14538,2001,37353,6.35,312.55,1.67,30.81,15779,383,274,43.55,32.5,4.5,2.8,86,134,8167,157469,,,,8864,85341,2131,23887,2227,23903,2975,19813,,,,,,377,303
Intel Core i9-13900K,Raptor Lake,Raptor Lake-S,32MB + 36MB,,125,3000 ‑ 5800,24/32,10,x86,,386,UHD Graphics 770,~65.9,20191.5,12017.5,87738,3.87,67.5,324,5959,849.5,14620.5,2238.5,38271.5,5.7,293.25,2.05,84.2,14271,419.25,264.75,40.7,22.9,5.4,2.9,84,139,7272,146984,,,,9598,85336,2197,23664,2286,24033,,,,,,,,368,316
AMD Ryzen 9 7950X3D,Raphael (Zen4),"Raphael (Zen 4, Ryzen 7000)",16MB + 128MB,64K (per core),120,4200 ‑ 5700,16/32,5,x86,,310,Radeon Graphics (Ryzen 7000),~67.5,20279,16551,138015,3.86,64.59,326,5974,795,14188,2053,36291,6.11,305.11,2.01,33.88,15779,392.5,265.5,42.4,26.9,4.2,2.8,86,133,8321,159341,,,,9240,87922,2183,23720,2311,24343,,,,,,,,383,313
Intel Core i7-14700K,Raptor Lake,Raptor Lake-R,28MB + 33MB,,125,2500 ‑ 5600,20/28,10,x86,,54,UHD Graphics 770,~64.6,20665,12027,91081,3.7,61.44,314,5459,832,13672,2153,35892,5.98,305.94,2.15,109.8,12800,419,261,36.8,25.6,4.6,2.6,91,155,7351,135648,,,,9304,79501,2045,22756,2121,23159,2902,19790,,,,,,339,314
AMD Ryzen 9 7900X,Raphael (Zen4),"Raphael (Zen 4, Ryzen 7000)",12MB + 64MB,,170,4700 ‑ 5600,12/24,5,x86,,440,Radeon Graphics (Ryzen 7000),~58.7,21284,8623,68579.5,3.83,54.66,323,4820.5,782.5,11471.5,2016.5,29300,6.14,313.44,1.8,40.31,17225,376,241,36.85,14.8,2.8,1.5,106,166,8269,127195,,,,9275,77033,2196,20658,2294,20667.5,,,,,,,,383,304.5
Intel Core i7-13700K,Raptor Lake,Raptor Lake-S,24MB + 30MB,,125,3400 ‑ 5400,16/24,10,x86,,439,UHD Graphics 770,~60,18153,11278,85748,3.66,52.98,303,4507.5,811.5,11713.5,2116,30745,6.19,317.81,2.31,170.22,12835,406,232,33.85,15.8,4,2.2,108,176.5,7061.5,111390,,,,8955,69210,2064,19217,2110,20190.5,2962,19249,,,,,,348,301
AMD Ryzen 9 7945HX3D,Dragon Range-HX (Zen 4),"Dragon Range (Zen 4, Ryzen 7045)",16MB + 128MB,,55,2300 ‑ 5400,16/32,5,x86,,135,Radeon 610M,~64.2,,8478,70414,3.7,61.9,311,5600,755,13033,1935,32782,6.4,337.8,5.9,249.9,51122,,,36.4,23.4,3.8,2.5,95,150,7573,136201,,,,,,,,2133,19875,2916,16957,,,97066,332.3,367.9,480,328
