Model,Codename,Architecture,Core speed,Boost / Turbo,Memory Speed,Memory Bus,Memory Type,Max. Memory,DirectX,OpenGL,Process (nm),Days old,Perf. Rating,3DMark Ice Storm GPU,3DMark Cloud Gate Standard Score,3DMark Cloud Gate GPU,3DMark11 P,3DMark11 P GPU,3DMark Fire Strike Score,3DMark Fire Strike Graphics,3DMark Time Spy Score,3DMark Time Spy Graphics,3DMark Vantage P,3DMark06,3DMark01,GFXBench,GFXBench 3.0 1080p Manhattan Offscreen,GFXBench 3.1 Manhattan ES 3.1 Offscreen,Basemark GPU 1.2 Vulkan Medium Offscreen,Basemark X 1.1 Medium Quality,Basemark X 1.1 High Quality,"Unigine Heaven 3.0 DX 11, Normal Tessellation, High Shaders",Unigine Valley 1.0 Extreme HD DirectX,Cinebench R15 OpenGL 64Bit,Cinebench R10 32Bit OpenGL,"ComputeMark v2.1 Normal, Score",LuxMark v2.0 64Bit Sala GPUs-only
NVIDIA GeForce RTX 4090 Laptop GPU,GN21-X11,Ada Lovelace,,2040,20000,256,GDDR6,16384,12 Ultimate,4.6,5,334,~72.683%,554375n3,64860n9,142552n9,45723n26,64848.5n26,35217.5n24,46386n25,20085n25,21279n25,113387,64691.5n4,,4088,1057,993,1746n7,,,,232,281n27,16004n5,49892n3,19891.5n2
NVIDIA RTX 5000 Ada Generation Laptop GPU,,Ada Lovelace,930,1680,20000,256,GDDR6,16384,12 Ultimate,4.6,4,257,~58.133%,,,,39552n2,53052.5n2,27801n2,33145n2,15316.5n2,15539.5n2,,,,,,,742.3n2,,,,,367.5n2,,,
AMD Radeon RX 7900M,Navi 31,RDNA 3,1825,2090,18000,256,GDDR6,16384,12_2,4.6,5,45,~6833%,,,,41670,59943,40123,50241,18114,19434,,,,,,,104.6,,,,,369,,,
NVIDIA GeForce RTX 4080 Laptop GPU,GN21-X9,Ada Lovelace,1860,2280,20000,192,GDDR6X,12288,12 Ultimate,4.6,5,334,~64.963%,,61168n8,132657n8,42156.5n16,57598n16,32343.5n14,40687n14,17218n14,17879.5n14,111294,58651.5n2,,,,,104.6n7,,,,,270n15,24367,38663,14841.5n2
NVIDIA RTX 4000 Ada Generation Laptop GPU,,Ada Lovelace,,,16000,192,GDDR6,12288,12 Ultimate,4.6,5,257,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA RTX 3500 Ada Generation Laptop GPU,,Ada Lovelace,,,16000,192,GDDR6,12288,12 Ultimate,4.6,5,257,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce RTX 4070 Laptop GPU,GN21-X6,Ada Lovelace,,2175,16000,128,GDDR6,8192,12 Ultimate,4.6,5,334,~51.783%,603749,63781n17,162423n17,34455n34,41011n34,26013n33,29860n33,12062n33,11955n33,97153.5n2,55349.5n8,,2674,990,743,229.5n16,,,,115.05n2,225n33,19835,25731n2,10800
NVIDIA RTX 3000 Ada Generation Laptop GPU,,Ada Lovelace,,,16000,128,GDDR6,8192,12 Ultimate,4.6,5,257,~38.133%,,,,27083,29411,18847,20908,8811,8351,,,,,,,900,,,,,288,,,
NVIDIA GeForce RTX 3080 Ti Laptop GPU,GN20-E8,Ampere,975,1590,14000,256,GDDR6,16384,12_2,4.6,8,698,~53.771%,648870n8,60593n26,152074n26,33697n45,42275n45,26549n43,31033n43,12267n42,12269n43,94760,56967n3,,2363.08,,,174.3,,,,,206n42,17110n3,30717,10333
NVIDIA RTX A5500 Laptop GPU,GA103S,Ampere,,,16000,256,GDDR6,16384,12_2,4.6,8,625,~47.742%,,54323,104565,30135n3,35376n3,24046n3,26260n3,9872n3,9568n3,,,,,,,1099,,,,,366n3,,,
